,id,cluster
1489,541,1
1490,1402,2
1491,1957,3
1492,598,5
1493,545,7
1494,147,7
1495,195,5
1496,1002,0
1497,2291,5
1498,1746,5
1499,2421,6
1500,1146,6
1501,2498,2
1502,155,4
1503,973,4
1504,260,1
1505,2294,5
1506,2443,1
1507,169,4
1508,809,2
1509,1200,7
1510,2052,1
1511,1810,3
1512,2427,1
1513,1803,1
1514,387,5
1515,135,4
1516,883,5
1517,122,5
1518,1859,5
1519,890,0
1520,232,2
1521,1963,7
1522,760,7
1523,978,0
1524,2215,1
1525,1408,0
1526,321,7
1527,1756,2
1528,651,7
1529,1054,2
1530,339,7
1531,901,6
1532,1879,7
1533,858,6
1534,1374,1
1535,367,5
1536,696,6
1537,552,2
1538,79,0
1539,823,5
1540,417,4
1541,1254,6
1542,1582,2
1543,536,3
1544,2039,1
1545,1420,2
1546,2078,0
1547,2218,0
1548,1060,1
1549,1643,7
1550,1838,4
1551,954,7
1552,429,0
1553,1922,0
1554,1970,2
1555,83,4
1556,1720,5
1557,816,5
1558,1097,0
1559,2492,1
1560,300,2
1561,1881,5
1562,1699,0
1563,1867,6
1564,672,6
1565,1476,7
1566,1862,0
1567,1070,3
1568,745,7
1569,94,6
1570,1850,7
1571,1530,2
1572,1612,2
1573,1472,2
1574,116,5
1575,2264,5
1576,636,1
1577,1208,0
1578,2352,0
1579,1072,5
1580,1098,7
1581,1302,0
1582,332,1
1583,2115,5
1584,2490,1
1585,294,7
1586,2011,7
1587,1113,4
1588,118,3
1589,658,1
1590,1659,2
1591,2117,7
1592,918,5
1593,889,2
1594,558,1
1595,288,1
1596,2086,0
1597,1027,5
1598,1755,0
1599,145,6
1600,610,7
1601,477,1
1602,630,2
1603,2073,0
1604,1518,7
1605,601,5
1606,1610,7
1607,749,1
1608,1237,5
1609,755,4
1610,1950,5
1611,389,6
1612,125,5
1613,2067,7
1614,1449,2
1615,2496,2
1616,1171,3
1617,2143,1
1618,1191,6
1619,1729,1
1620,1451,5
1621,1388,0
1622,257,0
1623,1790,0
1624,520,2
1625,1949,2
1626,242,5
1627,2141,0
1628,1092,5
1629,2132,3
1630,1841,0
1631,1433,0
1632,2197,2
1633,2118,6
1634,463,7
1635,753,0
1636,63,0
1637,2097,2
1638,446,7
1639,982,7
1640,1448,1
1641,2134,7
1642,853,1
1643,381,0
1644,1093,4
1645,1637,7
1646,1483,0
1647,549,6
1648,1041,0
1649,1870,1
1650,2441,5
1651,493,0
1652,1979,2
1653,1500,7
1654,10,7
1655,888,2
1656,1966,6
1657,255,7
1658,485,5
1659,451,3
1660,1132,1
1661,777,6
1662,2142,7
1663,688,5
1664,2029,0
1665,281,5
1666,189,6
1667,1118,1
1668,2425,1
1669,1546,6
1670,1119,0
1671,961,1
1672,1333,4
1673,1520,5
1674,1550,7
1675,1156,2
1676,2043,6
1677,1629,2
1678,1607,2
1679,1192,1
1680,2160,1
1681,1474,1
1682,2381,0
1683,1506,7
1684,267,5
1685,1382,2
1686,2267,3
1687,511,1
1688,1984,1
1689,2387,1
1690,1876,1
1691,854,5
1692,969,1
1693,412,5
1694,1182,0
1695,2410,7
1696,1501,6
1697,2229,1
1698,2334,0
1699,967,5
1700,355,3
1701,702,0
1702,676,7
1703,2037,7
1704,1019,5
1705,804,5
1706,2302,2
1707,2405,2
1708,1517,7
1709,1110,0
1710,2178,7
1711,2483,5
1712,2423,0
1713,1685,5
1714,82,1
1715,489,2
1716,845,0
1717,1206,7
1718,1167,5
1719,839,2
1720,2254,1
1721,2223,6
1722,908,7
1723,1688,7
1724,21,7
1725,834,0
1726,1222,7
1727,726,0
1728,1034,0
1729,1024,0
1730,134,5
1731,1584,0
1732,1030,4
1733,724,6
1734,1780,7
1735,2326,7
1736,1362,5
1737,1461,4
1738,1560,7
1739,1924,1
1740,465,1
1741,1247,5
1742,2133,5
1743,168,2
1744,2088,2
1745,1443,0
1746,1997,6
1747,1203,6
1748,1829,0
1749,833,1
1750,1602,1
1751,1145,0
1752,2310,1
1753,1562,4
1754,1808,4
1755,2090,3
1756,8,1
1757,2151,6
1758,1346,5
1759,1860,6
1760,1355,0
1761,1912,7
1762,606,7
1763,597,5
1764,408,7
1765,97,2
1766,1948,2
1767,2438,1
1768,1576,7
1769,1318,5
1770,1510,0
1771,1180,6
1772,1446,7
1773,1514,0
1774,1413,7
1775,921,7
1776,1511,1
1777,1832,1
1778,730,1
1779,1605,5
1780,140,0
1781,441,0
1782,2012,5
1783,494,2
1784,38,6
1785,607,0
1786,2285,5
1787,1104,0
1788,1270,5
1789,1005,7
1790,1919,1
1791,613,7
1792,698,2
1793,132,5
1794,1802,0
1795,1173,5
1796,1854,7
1797,1807,0
1798,848,0
1799,328,0
1800,670,1
1801,120,1
1802,849,0
1803,2257,3
1804,895,6
1805,1905,7
1806,1465,7
1807,1076,0
1808,1542,5
1809,824,2
1810,1489,0
1811,453,7
1812,1845,6
1813,2335,0
1814,1705,1
1815,239,1
1816,799,7
1817,81,5
1818,1234,7
1819,1822,1
1820,1665,7
1821,937,3
1822,1843,0
1823,1883,3
1824,2017,0
1825,1162,5
1826,1757,3
1827,322,5
1828,130,1
1829,386,6
1830,1901,7
1831,378,1
1832,528,7
1833,1044,5
1834,1138,0
1835,832,7
1836,2003,7
1837,304,1
1838,108,2
1839,194,1
1840,222,7
1841,1782,5
1842,1157,7
1843,2010,5
1844,2108,7
1845,1496,4
1846,15,1
1847,1649,1
1848,1600,6
1849,1376,5
1850,2348,6
1851,2482,5
1852,1813,7
1853,1257,6
1854,484,0
1855,916,2
1856,65,0
1857,582,1
1858,1599,5
1859,391,2
1860,1959,6
1861,305,0
1862,1064,0
1863,2122,6
1864,915,7
1865,913,5
1866,350,6
1867,1873,7
1868,687,5
1869,562,1
1870,1003,0
1871,2306,0
1872,2,2
1873,2480,5
1874,1295,0
1875,1762,1
1876,2182,1
1877,1111,5
1878,2258,3
1879,1210,7
1880,840,2
1881,1221,3
1882,1366,3
1883,2328,1
1884,1988,0
1885,2170,7
1886,476,2
1887,1925,2
1888,201,7
1889,2347,7
1890,2072,7
1891,708,1
1892,1091,2
1893,887,6
1894,2376,4
1895,323,2
1896,422,1
1897,2146,5
1898,2309,6
1899,1285,7
1900,1309,2
1901,819,1
1902,2216,6
1903,1836,2
1904,213,7
1905,2030,6
1906,2031,0
1907,2060,2
1908,371,5
1909,714,0
1910,41,0
1911,1282,1
1912,312,5
1913,2002,5
1914,2370,1
1915,425,6
1916,148,3
1917,1760,7
1918,575,3
1919,1766,1
1920,2290,7
1921,1547,7
1922,2329,5
1923,183,1
1924,2337,2
1925,2231,2
1926,436,2
1927,1874,5
1928,1468,7
1929,1857,1
1930,1176,7
1931,374,3
1932,996,0
1933,2050,3
1934,1131,6
1935,579,7
1936,2369,1
1937,1486,5
1938,1218,6
1939,237,2
1940,2272,1
1941,631,1
1942,1952,7
1943,2129,5
1944,439,0
1945,1059,5
1946,2436,6
1947,1595,5
1948,229,0
1949,2206,7
1950,1280,0
1951,1356,7
1952,1733,1
1953,1016,1
1954,1805,0
1955,2261,1
1956,2140,7
1957,1804,7
1958,1007,2
1959,430,6
1960,2203,7
1961,1343,7
1962,42,4
1963,643,1
1964,902,2
1965,2358,6
1966,633,6
1967,532,2
